hotel,auteur,n_avis,score_moy,score_max,centralite
BW_Litteraire_Marcel_Ayme,Fiori,1,0.2800580411212268,0.2800580411212268,0.3137029288702929
BW_Litteraire_Marcel_Ayme,Jakob Andersen,1,0.2800166757984811,0.2800166757984811,0.3133891213389121
BW_Litteraire_Marcel_Ayme,Eva,1,0.2797832587873733,0.2797832587873733,0.31213389121338914
BW_Litteraire_Marcel_Ayme,W2327ZOrogerp,1,0.2797108861475657,0.2797108861475657,0.31150627615062765
BW_Litteraire_Marcel_Ayme,Tanju Gundogdu,1,0.2796883820393817,0.2796883820393817,0.3108786610878661
BW_Litteraire_Marcel_Ayme,Roberto Ciacci,1,0.2795729918622323,0.2795729918622323,0.30993723849372384
BW_Litteraire_Marcel_Ayme,Victor Morales Robert,1,0.279354446731855,0.279354446731855,0.3083682008368201
BW_Litteraire_Marcel_Ayme,Chris Singleton,1,0.2790698936413365,0.2790698936413365,0.30742677824267783
BW_Litteraire_Marcel_Ayme,Ludovic Reiss,1,0.2789508192490503,0.2789508192490503,0.30711297071129706
BW_Litteraire_Marcel_Ayme,M. Touburg,1,0.2789415871847714,0.2789415871847714,0.3067991631799163
BW_Litteraire_Marcel_Ayme,Dimitri Mikoff,1,0.2785541613683672,0.2785541613683672,0.3055439330543933
BW_Litteraire_Marcel_Ayme,Tomas Žagūnis,1,0.278245643427098,0.278245643427098,0.3049163179916318
BW_Litteraire_Marcel_Ayme,kc1969166,1,0.2781849172687851,0.2781849172687851,0.304602510460251
BW_Litteraire_Marcel_Ayme,Barbara Collier,1,0.2781031930150415,0.2781031930150415,0.303347280334728
BW_Litteraire_Marcel_Ayme,Petra Boeckx,1,0.2781015870569853,0.2781015870569853,0.30303347280334725
BW_Litteraire_Marcel_Ayme,alicia vandeville,1,0.2776758264882147,0.2776758264882147,0.3014644351464435
BW_Litteraire_Marcel_Ayme,Ilse Fenicx,1,0.277596312443056,0.277596312443056,0.3002092050209205
BW_Litteraire_Marcel_Ayme,Els De schryver,1,0.2760443644976113,0.2760443644976113,0.2942468619246862
BW_Litteraire_Marcel_Ayme,Jens Brose,1,0.2758386082574303,0.2758386082574303,0.2936192468619247
BW_Litteraire_Marcel_Ayme,Olivier Costes,1,0.2753424211408065,0.2753424211408065,0.2920502092050209
BW_Litteraire_Marcel_Ayme,Delphine Lefebvre,1,0.2751818031553809,0.2751818031553809,0.2917364016736401
BW_Litteraire_Marcel_Ayme,Moni Preisig,1,0.2750459502548895,0.2750459502548895,0.2914225941422594
BW_Litteraire_Marcel_Ayme,Philippe A,1,0.2736734986991566,0.2736734986991566,0.28765690376569036
BW_Litteraire_Marcel_Ayme,Thierry Rault,1,0.2734465556142263,0.2734465556142263,0.2864016736401674
BW_Litteraire_Marcel_Ayme,G5801XJalessandral,1,0.273129227667223,0.273129227667223,0.28577405857740584
BW_Litteraire_Marcel_Ayme,sophiedD4291ZJ,1,0.2727585602465771,0.2727585602465771,0.28514644351464435
BW_Litteraire_Marcel_Ayme,Andrea Maccagni,1,0.2726354235084116,0.2726354235084116,0.2845188284518828
BW_Litteraire_Marcel_Ayme,Marie Jacques,1,0.2724724458592367,0.2724724458592367,0.2826359832635983
BW_Litteraire_Marcel_Ayme,Alex Metzler,1,0.2722351661389778,0.2722351661389778,0.2813807531380753
BW_Litteraire_Marcel_Ayme,Hollebek,1,0.2715680754296495,0.2715680754296495,0.27887029288702925
BW_Litteraire_Marcel_Ayme,Andrew Watson,1,0.2704200157714613,0.2704200157714613,0.27635983263598324
BW_Litteraire_Marcel_Ayme,thomas31582,1,0.2700508040058555,0.2700508040058555,0.2744769874476988
BW_Litteraire_Marcel_Ayme,Sébastien COURTIN,1,0.2698720951541007,0.2698720951541007,0.274163179916318
BW_Litteraire_Marcel_Ayme,imatus726473,1,0.2698448062801243,0.2698448062801243,0.27384937238493723
BW_Litteraire_Marcel_Ayme,martinezrocamora,1,0.2696003021231076,0.2696003021231076,0.27290794979079497
BW_Litteraire_Marcel_Ayme,Alban G,1,0.2695324520413475,0.2695324520413475,0.27259414225941425
BW_Litteraire_Marcel_Ayme,Rares Teodor Bucur,1,0.2694929690920759,0.2694929690920759,0.2722803347280335
BW_Litteraire_Marcel_Ayme,Diego Montoya,1,0.2693051496005065,0.2693051496005065,0.2710251046025105
BW_Litteraire_Marcel_Ayme,Raphaël Lederer,1,0.2688057756583706,0.2688057756583706,0.2697698744769874
BW_Litteraire_Marcel_Ayme,Kristel Beelen,1,0.2681054132200685,0.2681054132200685,0.2691422594142259
BW_Litteraire_Marcel_Ayme,Verónica Pérez Lima,1,0.2674948597749177,0.2674948597749177,0.2666317991631799
BW_Litteraire_Marcel_Ayme,Anita Stadt,1,0.2670999340881799,0.2670999340881799,0.2660041841004184
BW_Litteraire_Marcel_Ayme,Marcel R,1,0.2668093878992782,0.2668093878992782,0.26506276150627617
BW_Litteraire_Marcel_Ayme,Nikki Robson,1,0.2667299087790788,0.2667299087790788,0.2647489539748954
BW_Litteraire_Marcel_Ayme,Richard Kranendonk,1,0.2657844523322995,0.2657844523322995,0.2622384937238494
BW_Litteraire_Marcel_Ayme,lotte rasmussen,1,0.265762510310136,0.265762510310136,0.2619246861924686
BW_Litteraire_Marcel_Ayme,Kevin Benoit,1,0.2655302720469199,0.2655302720469199,0.26098326359832635
BW_Litteraire_Marcel_Ayme,Zaneta Hlinkova,1,0.2652716353107329,0.2652716353107329,0.2597280334728034
BW_Litteraire_Marcel_Ayme,Ankit Batra,1,0.2648868409976681,0.2648868409976681,0.25690376569037654
BW_Litteraire_Marcel_Ayme,Jonathon Marks,1,0.2648846314475162,0.2648846314475162,0.2565899581589958
BW_Litteraire_Marcel_Ayme,Adriana Marques,1,0.2648802868773167,0.2648802868773167,0.25627615062761505
BW_Litteraire_Marcel_Ayme,fred fred,1,0.2647436060511775,0.2647436060511775,0.25564853556485356
